orig,repl
"centre for marine conservation and policy research (marcopol), university of plymouth",university of plymouth
centre for poverty analysis,center for poverty analysis
centre for renewable energy and appropriate technologies,center for renewable energy and appropriate technologies
centre for renewable energy and appropriate technologies (india),center for renewable energy and appropriate technologies
"centre for research & action on development of locales, regions and the environment","center for research & action on development of locales, regions and the environment"
"centre for research & technology, hellas","center for research & technology, hellas"
centre for rural technology,center for rural technology
centre for science and environment,center for science and environment
centre for science and environment (cse) (india),center for science and environment
centre for social markets,center for social markets
centre for socio-economic development,center for socio-economic development
